EVENT_VALUE,TAG_ID,EVENT_TIME
0.0,1503623,2020-01-16
1.314,1503624,2020-01-16
1.9809999999999999,1503625,2020-01-16
0.02,1503626,2020-01-16
2.166,1503627,2020-01-16
0.002,1503628,2020-01-16
1.2670000000000001,1503629,2020-01-16
28.774,1503630,2020-01-16
24.52,1503631,2020-01-16
0.0,1503632,2020-01-16
0.0,1503633,2020-01-16
0.0,1503634,2020-01-16
0.0,1503635,2020-01-16
0.0,1503636,2020-01-16
0.0,1503637,2020-01-16
5.0,1503638,2020-01-16
7.593999999999999,1503639,2020-01-16
11.87,1503640,2020-01-16
14.969000000000001,1503641,2020-01-16
0.0,1503642,2020-01-16
0.0,1503643,2020-01-16
0.0,1503644,2020-01-16
0.0,1503645,2020-01-16
0.0,1503646,2020-01-16
0.0,1503647,2020-01-16
0.0,1503648,2020-01-16
0.0,1503649,2020-01-16
12.798,1503650,2020-01-16
13.877,1503651,2020-01-16
0.0,1503652,2020-01-16
0.0,1503653,2020-01-16
0.0,1503654,2020-01-16
0.0,1503655,2020-01-16
0.17800000000000002,1503656,2020-01-16
0.0,1503657,2020-01-16
0.035,1503658,2020-01-16
3.156,1503659,2020-01-16
1.6,1503660,2020-01-16
2.734,1503661,2020-01-16
4.988,1503662,2020-01-16
7.544,1503663,2020-01-16
8.873,1503664,2020-01-16
12.29,1503665,2020-01-16
4.099,1503666,2020-01-16
6.154,1503667,2020-01-16
3.154,1503668,2020-01-16
3.0,1503669,2020-01-16
0.0,1503670,2020-01-16
0.0,1503671,2020-01-16
9.628,1503672,2020-01-16
12.615,1503673,2020-01-16
0.0,1503674,2020-01-16
0.0,1503675,2020-01-16
6.265,1503676,2020-01-16
7.559,1503677,2020-01-16
0.0,1503678,2020-01-16
0.0,1503679,2020-01-16
6.186,1503680,2020-01-16
7.591,1503681,2020-01-16
8.5,1503682,2020-01-16
13.542,1503683,2020-01-16
4.8,1503684,2020-01-16
7.392,1503685,2020-01-16
6.138,1503686,2020-01-16
6.834,1503687,2020-01-16
8.798,1503688,2020-01-16
10.508,1503689,2020-01-16
0.006,1503690,2020-01-16
0.0,1503691,2020-01-16
0.0,1503692,2020-01-16
5.295,1503693,2020-01-16
6.56,1503694,2020-01-16
7.9270000000000005,1503695,2020-01-16
7.207999999999999,1503696,2020-01-16
0.0,1503697,2020-01-16
0.0,1503698,2020-01-16
7.902,1503699,2020-01-16
12.386,1503700,2020-01-16
4.984,1503701,2020-01-16
5.709,1503702,2020-01-16
0.0,1503703,2020-01-16
20.566999999999997,1503704,2020-01-16
19.198,1503705,2020-01-16
0.0,1503706,2020-01-16
10.049,1503707,2020-01-16
13.468,1503708,2020-01-16
6.881,1503709,2020-01-16
12.187999999999999,1503710,2020-01-16
0.644,1503711,2020-01-16
7.711,1503712,2020-01-16
0.359,1503713,2020-01-16
0.122,1503714,2020-01-16
0.0,1503715,2020-01-16
0.767,1503716,2020-01-16
2.0069999999999997,1503717,2020-01-16
13.462,1503718,2020-01-16
16.67,1503719,2020-01-16
0.0,1503720,2020-01-16
4.225,1503721,2020-01-16
5.242999999999999,1503722,2020-01-16
8.766,1503723,2020-01-16
9.751,1503724,2020-01-16
11.128,1503725,2020-01-16
12.92,1503726,2020-01-16
